TCGA-Z4-AAPG-01A-11D-A38Z-09	TCGA-DX-A6YV-01A-12D-A351-09	TCGA-DX-A6BK-01A-11D-A307-09	TCGA-QQ-A8VD-01A-42D-A38Z-09	TCGA-X6-A8C6-01A-11D-A36J-09	TCGA-HB-A2OT-01A-11D-A21Q-09	TCGA-DX-A1KX-01A-22D-A24N-09	TCGA-DX-A3UC-01A-11D-A307-09	TCGA-WK-A8XQ-01A-11D-A37C-09	TCGA-DX-A8BP-01A-11D-A37C-09	TCGA-DX-AB2O-01A-12D-A38Z-09	TCGA-3B-A9HP-01A-11D-A387-09	TCGA-DX-A6YT-01A-21D-A351-09	TCGA-WK-A8XO-01A-11D-A37C-09	TCGA-DX-A48O-01A-11D-A307-09	TCGA-X2-A95T-01A-11D-A37C-09	TCGA-3B-A9HS-01A-11D-A38Z-09	TCGA-3B-A9HX-01A-11D-A38Z-09	TCGA-DX-AB2J-01A-11D-A387-09	TCGA-WK-A8XY-01A-11D-A37C-09	TCGA-DX-A1KW-01A-22D-A24N-09	TCGA-WK-A8XX-01A-11D-A37C-09	TCGA-DX-AB2P-01A-11D-A387-09	TCGA-DX-A8BO-01A-11D-A417-09	TCGA-DX-A3UE-01A-11D-A307-09	TCGA-WP-A9GB-01A-11D-A37C-09	TCGA-DX-A6BE-01A-41D-A32I-09	TCGA-DX-AB2V-01A-11D-A417-09	TCGA-DX-A8BV-01A-11D-A37C-09	TCGA-DX-A6B7-01A-11D-A307-09	TCGA-DX-A7EQ-01A-11D-A387-09	TCGA-IW-A3M4-01A-11D-A21Q-09	TCGA-QQ-A5VB-01A-11D-A36J-09	TCGA-DX-A6YR-01A-33D-A351-09	TCGA-MJ-A68J-01A-11D-A307-09	TCGA-DX-A6YU-01A-12D-A33E-09	TCGA-FX-A3TO-01A-11D-A228-09	TCGA-MJ-A850-01A-11D-A351-09	TCGA-DX-A3U9-01A-11D-A307-09	TCGA-DX-A6Z2-01A-12D-A36J-09	TCGA-X6-A7WC-01A-12D-A351-09	TCGA-UE-A6QU-01A-12D-A32I-09	TCGA-DX-AB37-01A-11D-A417-09	TCGA-SG-A6Z4-01A-22D-A33E-09	TCGA-DX-A23V-01A-11D-A29N-09	TCGA-DX-A2J1-01A-11D-A21Q-09	TCGA-K1-A6RT-01A-32D-A33E-09	TCGA-IE-A3OV-01A-11D-A228-09	TCGA-SI-A71P-01A-12D-A33E-09	TCGA-IS-A3KA-01A-11D-A21Q-09	TCGA-DX-AB2L-01A-32D-A417-09	TCGA-SG-A6Z7-01A-12D-A32I-09	TCGA-FX-A2QS-01A-11D-A21Q-09	TCGA-3B-A9HY-01A-11D-A38Z-09	TCGA-DX-A7EI-01A-11D-A33E-09	TCGA-DX-A3LW-01A-21D-A21Q-09	TCGA-DX-AB2W-01A-11D-A38Z-09	TCGA-MB-A5YA-01A-11D-A29N-09	TCGA-DX-A48K-01A-11D-A307-09	TCGA-QC-A7B5-01A-11D-A33E-09	TCGA-DX-A2J0-01A-11D-A21Q-09	TCGA-K1-A6RU-01A-11D-A32I-09	TCGA-FX-A8OO-01A-11D-A36J-09	TCGA-DX-A8BG-01A-12D-A417-09	TCGA-DX-A23Y-01A-11D-A27P-09	TCGA-IE-A4EH-01A-11D-A24N-09	TCGA-3B-A9HZ-01A-11D-A38Z-09	TCGA-X6-A8C5-01A-11D-A36J-09	TCGA-DX-AB2G-01A-11D-A38Z-09	TCGA-3B-A9HI-01A-11D-A387-09	TCGA-DX-A3LY-01B-11D-A27P-09	TCGA-DX-A240-01A-32D-A27P-09	TCGA-DX-A6BH-01A-12D-A307-09	TCGA-X6-A8C3-01A-11D-A36J-09	TCGA-DX-A3LS-01A-11D-A21Q-09	TCGA-DX-A8BX-01A-11D-A37C-09	TCGA-FX-A76Y-01A-11D-A351-09	TCGA-DX-A6BB-01A-12D-A32I-09	TCGA-IW-A3M6-01A-11D-A21Q-09	TCGA-DX-A7EN-01A-11D-A38Z-09	TCGA-LI-A67I-01A-31D-A307-09	TCGA-WK-A8XT-01A-11D-A37C-09	TCGA-DX-A7ET-01A-11D-A36J-09	TCGA-DX-A8BN-01A-11D-A37C-09	TCGA-3B-A9HV-01A-11D-A38Z-09	TCGA-DX-A8BU-01A-11D-A37C-09	TCGA-MB-A5Y8-01A-11D-A29N-09	TCGA-3B-A9HT-01A-11D-A38Z-09	TCGA-QQ-A8VB-01A-11D-A37C-09	TCGA-QQ-A8VF-01A-11D-A37C-09	TCGA-VT-AB3D-01A-12D-A417-09	TCGA-DX-A6BA-01A-11D-A307-09	TCGA-DX-A8BZ-01A-11D-A37C-09	TCGA-DX-A8BH-01A-11D-A37C-09	TCGA-IE-A4EJ-01A-11D-A24N-09	TCGA-Z4-A9VC-01A-11D-A37C-09	TCGA-DX-AATS-01A-12D-A417-09	TCGA-SI-AA8B-01A-11D-A387-09	TCGA-VT-A80J-01A-11D-A36J-09	TCGA-VT-A80J-02A-11D-A417-09	TCGA-DX-A8BR-01A-11D-A417-09	TCGA-DX-A1L1-01A-11D-A24N-09	TCGA-DX-A6YZ-01A-12D-A351-09	TCGA-IE-A4EK-01A-11D-A24N-09	TCGA-QQ-A8VH-01A-11D-A37C-09	TCGA-IS-A3K7-01A-11D-A21Q-09	TCGA-DX-A3UF-01A-11D-A307-09	TCGA-DX-A6YQ-01A-12D-A33E-09	TCGA-DX-AB2H-01A-11D-A38Z-09	TCGA-DX-A3U6-01A-11D-A29N-09	TCGA-DX-A48J-01A-21D-A307-09	TCGA-QQ-A5VA-01A-12D-A32I-09	TCGA-DX-AB36-01A-11D-A417-09	TCGA-DX-A2IZ-01A-11D-A21Q-09	TCGA-DX-A7EO-01A-11D-A36J-09	TCGA-DX-A1L2-01A-22D-A24N-09	TCGA-FX-A3RE-01A-11D-A228-09	TCGA-DX-A3M2-01A-21D-A228-09	TCGA-DX-A48N-01A-11D-A307-09	TCGA-X6-A8C2-01A-11D-A36J-09	TCGA-X9-A973-01A-11D-A387-09	TCGA-DX-AB2Z-01A-11D-A387-09	TCGA-DX-AB3B-01A-11D-A417-09	TCGA-IF-A4AK-01A-21D-A24N-09	TCGA-DX-AB3C-01A-11D-A417-09	TCGA-DX-A6BG-01A-11D-A307-09	TCGA-DX-AB2F-01A-11D-A387-09	TCGA-SI-AA8C-01A-11D-A387-09	TCGA-K1-A42X-02A-11D-A24N-09	TCGA-MB-A8JL-01A-11D-A36J-09	TCGA-DX-A6B8-01A-11D-A307-09	TCGA-DX-AB2X-01A-11D-A387-09	TCGA-QC-A6FX-01A-11D-A32I-09	TCGA-FX-A3NK-01A-11D-A21Q-09	TCGA-DX-A3UA-01A-12D-A307-09	TCGA-X6-A8C7-01A-11D-A36J-09	TCGA-X6-A8C4-01A-11D-A36J-09	TCGA-DX-A3M1-01A-11D-A228-09	TCGA-DX-A6YS-01A-12D-A351-09	TCGA-QQ-A5V2-01A-11D-A32I-09	TCGA-WK-A8XS-01A-11D-A37C-09	TCGA-HB-A5W3-01A-11D-A29N-09	TCGA-IE-A4EI-01A-11D-A24N-09	TCGA-X6-A7W8-01A-21D-A351-09	TCGA-DX-A6Z0-01A-13D-A36J-09	TCGA-DX-AB2E-01A-11D-A38Z-09	TCGA-JV-A75J-01A-11D-A32I-09	TCGA-Z4-A8JB-01A-23D-A37C-09	TCGA-DX-A48P-01A-11D-A307-09	TCGA-RN-AAAQ-01A-21D-A38Z-09	TCGA-X6-A7WD-01A-21D-A351-09	TCGA-Z4-AAPF-01A-11D-A38Z-09	TCGA-JV-A5VE-01A-11D-A29N-09	TCGA-QQ-A5VD-01A-21D-A32I-09	TCGA-MB-A5Y9-01A-11D-A29N-09	TCGA-IS-A3K6-01A-11D-A21Q-09	TCGA-DX-A6YX-01A-11D-A417-09	TCGA-DX-A8BT-01A-11D-A37C-09	TCGA-DX-A7EL-01A-12D-A36J-09	TCGA-DX-A48U-01A-11D-A307-09	TCGA-3R-A8YX-01A-11D-A37C-09	TCGA-KD-A5QS-01A-11D-A27P-09	TCGA-K1-A3PN-01A-11D-A228-09	TCGA-3B-A9HO-01A-11D-A387-09	TCGA-DX-A6BF-01A-11D-A307-09	TCGA-DX-A2J4-01A-32D-A21Q-09	TCGA-K1-A6RV-01A-11D-A32I-09	TCGA-FX-A3NJ-01A-11D-A21Q-09	TCGA-DX-A3UB-01A-11D-A307-09	TCGA-DX-A3UD-01A-11D-A307-09	TCGA-MJ-A68H-01A-11D-A307-09	TCGA-DX-A48V-01A-11D-A307-09	TCGA-DX-A8BK-01A-11D-A37C-09	TCGA-3B-A9HQ-01A-11D-A387-09	TCGA-DX-A1L0-01A-11D-A24N-09	TCGA-X6-A7WA-01A-12D-A351-09	TCGA-MO-A47R-01A-11D-A24N-09	TCGA-DX-AB30-01A-11D-A38Z-09	TCGA-IE-A6BZ-01A-11D-A307-09	TCGA-X6-A7WB-01A-11D-A351-09	TCGA-DX-A7EF-01A-11D-A33E-09	TCGA-VT-A80G-01A-11D-A36J-09	TCGA-MB-A8JK-01A-11D-A36J-09	TCGA-DX-A3U5-01A-11D-A228-09	TCGA-UE-A6QT-01A-12D-A32I-09	TCGA-N1-A6IA-01A-12D-A32I-09	TCGA-LI-A9QH-01A-11D-A37C-09	TCGA-DX-A8BM-01A-11D-A417-09	TCGA-DX-A8BJ-01A-11D-A417-09	TCGA-QQ-A5V9-01A-11D-A32I-09	TCGA-HB-A43Z-01A-11D-A24N-09	TCGA-3B-A9HU-01A-11D-A38Z-09	TCGA-DX-A7ES-01A-31D-A38Z-09	TCGA-MO-A47P-01A-11D-A24N-09	TCGA-DX-A48R-01A-11D-A307-09	TCGA-3B-A9I1-01A-11D-A38Z-09	TCGA-PC-A5DM-01A-11D-A27P-09	TCGA-QC-AA9N-01A-11D-A38Z-09	TCGA-DX-A7ER-01A-11D-A36J-09	TCGA-SI-A71O-06A-11D-A387-09	TCGA-SI-A71O-01A-12D-A33E-09	TCGA-3B-A9I0-01A-11D-A38Z-09	TCGA-3B-A9I3-01A-11D-A38Z-09	TCGA-3B-A9HL-01A-11D-A387-09	TCGA-WK-A8Y0-01A-11D-A417-09	TCGA-X9-A971-01A-11D-A387-09	TCGA-SI-A71Q-01A-12D-A33E-09	TCGA-DX-A7EM-01A-11D-A36J-09	TCGA-DX-AB2S-01A-11D-A38Z-09	TCGA-3B-A9HR-01A-11D-A387-09	TCGA-KD-A5QT-01A-11D-A27P-09	TCGA-PC-A5DK-01A-11D-A27P-09	TCGA-IW-A3M5-01A-22D-A21Q-09	TCGA-KF-A41W-01A-11D-A24N-09	TCGA-DX-AB3A-01A-11D-A417-09	TCGA-DX-A6B9-01A-12D-A32I-09	TCGA-JV-A5VF-01A-11D-A29N-09	TCGA-DX-AB32-01A-11D-A417-09	TCGA-DX-A3U8-01A-11D-A29N-09	TCGA-RN-A68Q-01A-11D-A307-09	TCGA-DX-A7EU-01A-22D-A36J-09	TCGA-SG-A849-01A-11D-A351-09	TCGA-DX-A48L-01A-11D-A307-09	TCGA-PC-A5DN-01A-12D-A27P-09	TCGA-IS-A3K8-01A-11D-A21Q-09	TCGA-DX-A3LU-01A-11D-A21Q-09	TCGA-DX-A8BL-01A-11D-A417-09	TCGA-DX-A1KU-01A-32D-A24N-09	TCGA-DX-A3U7-01A-11D-A29N-09	TCGA-K1-A3PN-02A-11D-A228-09	TCGA-DX-AB35-01A-21D-A417-09	TCGA-WK-A8XZ-01A-11D-A37C-09	TCGA-KD-A5QU-01A-11D-A27P-09	TCGA-QQ-A5VC-01A-31D-A32I-09	TCGA-DX-AB2T-01A-11D-A387-09	TCGA-QQ-A8VG-01A-11D-A37C-09	TCGA-3B-A9HJ-01A-11D-A387-09	TCGA-DX-AB2Q-01A-11D-A38Z-09
IRF2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KEL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SOX17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPDC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOTCH1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7L2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNND1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF111	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
RARA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
